id,sign,signer,start,end
CLSFBI0103A_S001_B_251377_251488,PT:PRO2,S001,251377,251488
CLSFBI0103A_S001_B_252353_252691,PT:POSS2,S001,252353,252691
CLSFBI0103A_S001_B_283902_285174,PT:PRO2,S001,283902,285174
CLSFBI0103A_S001_B_285448_285699,LBUOY,S001,285448,285699
CLSFBI0103A_S001_B_286406_286613,PT:PRO1,S001,286406,286613
CLSFBI0103A_S001_B_286939_287559,PT:PRO4,S001,286939,287559
CLSFBI0103A_S001_B_289380_290166,PT:PRO4,S001,289380,290166
CLSFBI0103A_S001_B_290605_292296,PT:PRO1,S001,290605,292296
CLSFBI0103A_S001_B_293252_293443,PT:POSS1,S001,293252,293443
CLSFBI0103A_S001_B_305895_306077,PT:PRO1,S001,305895,306077
CLSFBI0103A_S001_B_306714_306867,PT:PRO1,S001,306714,306867
CLSFBI0103A_S001_B_307939_308061,PT:POSS1,S001,307939,308061
CLSFBI0103A_S001_B_309618_309854,PT:PRO1,S001,309618,309854
CLSFBI0103A_S001_B_310787_311036,PALM-UP,S001,310787,311036
CLSFBI0103A_S001_B_310787_312459,PALM-UP,S001,310787,312459
CLSFBI0103A_S001_B_311170_311491,PT:POSS3,S001,311170,311491
CLSFBI0103A_S001_B_313049_313221,PT:POSS3,S001,313049,313221
CLSFBI0103A_S001_B_315063_315232,PT:POSS3,S001,315063,315232
CLSFBI0103A_S001_B_315603_316024,GSIGN,S001,315603,316024
CLSFBI0103A_S001_B_316094_316379,GSIGN,S001,316094,316379
CLSFBI0103A_S001_B_318526_319335,PT:PRO3,S001,318526,319335
CLSFBI0103A_S001_B_319468_319762,PT:PRO1,S001,319468,319762
CLSFBI0103A_S001_B_320382_320686,PT:PRO3,S001,320382,320686
CLSFBI0103A_S001_B_320818_321003,PT:PRO3,S001,320818,321003
CLSFBI0103A_S001_B_321600_321705,PT:PRO3,S001,321600,321705
CLSFBI0103A_S001_B_322637_322806,PT:PRO1,S001,322637,322806
CLSFBI0103A_S001_B_324018_324473,PT:PRO6,S001,324018,324473
CLSFBI0103A_S001_B_328045_328629,PT:DET,S001,328045,328629
CLSFBI0103A_S001_B_332079_332231,PT:PRO3,S001,332079,332231
CLSFBI0103A_S001_B_332267_332478,PT:PRO1,S001,332267,332478
CLSFBI0103A_S001_B_336381_336449,PT:LOC,S001,336381,336449
CLSFBI0103A_S001_B_339966_341318,PT:LOC,S001,339966,341318
CLSFBI0103A_S001_B_341107_341318,PT:PRO1,S001,341107,341318
